gene_id	description
18-w	18-wheeler
5-HT1	serotonin receptor
5-HT2alpha	serotonin receptor
5-HT2beta	serotonin receptor
5-ht7	serotonin receptor 7
A4	apolipophorin-III-like protein
ACSF2	acyl-CoA synthetase family member 2
AChE-2	acetylcholinesterase 2
AGLU2	alpha glucosidase 2
ATP5G2	"ATP synthase, H+ transporting, mitochondrial Fo complex, subunit C2 (subunit 9)"
Abscam	Dscam family member AbsCAM
Ac3	adenylate cyclase 3
Acph-1	venom acid phosphatase
Adar	adenosine deaminase acting on RNA
Adk1	adenylate kinase 1
Akhr	adipokinetic hormone receptor
Amel_8916	cys-loop ligand-gated ion channel subunit 8916
Amih	hyperpolarization-activated ion channel
Ancr-1	AncR-1 non-coding nuclear RNA
Ant	ADP/ATP translocase
Antp	homeotic protein antennapedia
Apamin	apamin protein
Apd-1	apidermin 1
Apd-2	apidermin 2
Apd-3	apidermin 3
Apid1	apidaecin 1
Apime-ASTA	allatostatin A
Argk	arginine kinase
Arp1	actin related protein 1
B-gluc1	"beta-1,3-glucan recognition protein 1"
BBIP1	BBSome-interacting protein 1-like
Blop	blue-sensitive opsin
Br-c	broad-complex
Brd7	bromodomain containing 7
Burs	bursicon subunit alpha
C1q-VP	C1q-like venom protein
CPF1	cuticular protein CPF1
CPF2	cuticular protein CPF2
CPR1	cuticular protein 1
CPR11	cuticular protein 11
CPR12	cuticular protein 12
CPR13	cuticular protein 13
CPR14	cuticular protein 14
CPR16	cuticular protein 16
CPR17	cuticular protein 17
CPR18	cuticular protein 18
CPR19	cuticular protein 19
CPR2	cuticular protein 2
CPR21	cuticular protein 21
CPR22	cuticular protein 22
CPR27	cuticular protein 27
CPR28	cuticular protein 28
CPR3	cuticular protein 3
CPR4	cuticular protein 4
CPR5	cuticular protein 5
CPR6	cuticular protein 6
CSP1	chemosensory protein 1
CSP2	chemosensory protein 2
CSP3	chemosensory protein 3
CSP4	chemosensory protein 4
CSP6	chemosensory protein 6
CTL5	C-type lectin 5
CUTA	cutA divalent cation tolerance homolog
CYP6AQ1	cytochrome P450 6AQ1
Cac	cacophony
Calpb	calpain-B
Camkii	calcium/calmodulin-dependent protein kinase II
Cat	catalase
Cbs	cystathionine beta-synthase
Cdc37	cell division cycle 37 homolog
Cdk5	cyclin-dependent kinase 5
Chmp1	chromatin modifying protein 1
Coq7	ubiquinone biosynthesis protein COQ7
Cox6b1	cytochrome c oxidase subunit VIb polypeptide 1
Cox6c	cytochrome c oxidase subunit VIc
Cpap3-b	cuticular protein analogous to peritrophins 3-B
Cpap3-c	cuticular protein analogous to peritrophins 3-C
Cpap3-d	cuticular protein analogous to peritrophins 3-D
Cry2	cryptochrome 2
Cryl1	lambda crystallin-like protein
Crz	corazonin
Crzr	corazonin receptor
Csd	complementary sex determiner
Cyp314a1	cytochrome P450 314A1
Cyp4g11	cytochrome P450 4G11
Cyp6as5	cytochrome P450 6AS5
CytC	mitochondrial cytochrome C
DHRS4	dehydrogenase/reductase (SDR family) member 4
Dat	dopamine transporter
Dcr-1	endoribonuclease Dicer-1
Def1	defensin 1
