go_id	go	gene_id
GB40007	GO:0034993	LOC551356
GB40007	GO:0090286	LOC551356
GB40010	GO:0016021	LOC551319
GB40012	GO:0016021	LOC551280
GB40013	GO:0003998	LOC724904
GB40014	GO:0005622	LOC413018
GB40014	GO:0006886	LOC413018
GB40015	GO:0008289	LOC551111
GB40015	GO:0016021	LOC551111
GB40016	GO:0004143	LOC551069
GB40016	GO:0005509	LOC551069
GB40016	GO:0005524	LOC551069
GB40016	GO:0005622	LOC551069
GB40016	GO:0007205	LOC551069
GB40016	GO:0035556	LOC551069
GB40020	GO:0003924	LOC550723
GB40020	GO:0005525	LOC550723
GB40020	GO:0005622	LOC550723
GB40020	GO:0006886	LOC550723
GB40020	GO:0006913	LOC550723
GB40020	GO:0007264	LOC550723
GB40020	GO:0016020	LOC550723
GB40027	GO:0008233	LOC410696
GB40028	GO:0005524	LOC725348
GB40028	GO:0006298	LOC725348
GB40028	GO:0030983	LOC725348
GB40028	GO:0032300	LOC725348
GB40030	GO:0002143	LOC724496
GB40030	GO:0004792	LOC724496
GB40030	GO:0005524	LOC724496
GB40030	GO:0005829	LOC724496
GB40030	GO:0006777	LOC724496
GB40030	GO:0008641	LOC724496
GB40030	GO:0016779	LOC724496
GB40030	GO:0018192	LOC724496
GB40030	GO:0046872	LOC724496
GB40031	GO:0004175	LOC100578243
GB40031	GO:0005634	LOC100578243
GB40031	GO:0006511	LOC100578243
GB40031	GO:0019773	LOC100578243
GB40032	GO:0032040	LOC550996
GB40033	GO:0043087	LOC100578281
GB40037	GO:0003777	LOC727484
GB40037	GO:0005524	LOC727484
GB40037	GO:0005871	LOC727484
GB40037	GO:0007018	LOC727484
GB40038	GO:0005215	LOC552136
GB40038	GO:0006811	LOC552136
GB40038	GO:0016020	LOC552136
GB40053	GO:0008528	LOC413550
GB40053	GO:0016021	LOC413550
GB40057	GO:0000166	LOC409961
GB40057	GO:0003676	LOC409961
GB40063	GO:0003677	LOC410442
GB40063	GO:0005524	LOC410442
GB40063	GO:0006260	LOC410442
GB40067	GO:0004672	Ripk5
GB40067	GO:0004674	Ripk5
GB40067	GO:0004712	Ripk5
GB40067	GO:0004713	Ripk5
GB40067	GO:0005524	Ripk5
GB40067	GO:0005737	Ripk5
GB40067	GO:0016323	Ripk5
GB40067	GO:0016324	Ripk5
GB40069	GO:0016021	LOC725619
GB40070	GO:0016021	LOC725753
GB40072	GO:0030170	LOC410039
GB40072	GO:0031071	LOC410039
GB40072	GO:0044571	LOC410039
GB40074	GO:0003707	LOC551592
GB40074	GO:0004879	LOC551592
GB40074	GO:0005634	LOC551592
GB40074	GO:0006351	LOC551592
GB40074	GO:0008270	LOC551592
GB40074	GO:0043565	LOC551592
GB40075	GO:0005622	LOC410447
GB40075	GO:0006886	LOC410447
GB40076	GO:0016021	LOC410448
GB40076	GO:0022857	LOC410448
GB40077	GO:0003824	LOC726040
GB40083	GO:0008474	LOC408426
GB40085	GO:0004181	LOC410452
GB40085	GO:0008270	LOC410452
GB40085	GO:0016021	LOC410452
GB40086	GO:0005215	LOC410454
GB40086	GO:0016021	LOC410454
GB40086	GO:0055085	LOC410454
GB40089	GO:0005245	LOC408430
GB40089	GO:0005891	LOC408430
GB40091	GO:0008270	LOC408431
GB40095	GO:0005634	Dll
GB40095	GO:0006355	Dll
GB40095	GO:0043565	Dll
GB40098	GO:0006351	LOC410459
GB40098	GO:0016538	LOC410459
GB40098	GO:0070985	LOC410459
GB40106	GO:0016757	LOC408434
GB40107	GO:0003677	LOC410463
GB40107	GO:0005524	LOC410463
GB40107	GO:0006260	LOC410463
GB40109	GO:0004144	LOC552377
GB40109	GO:0005789	LOC552377
GB40109	GO:0016021	LOC552377
GB40109	GO:0019432	LOC552377
GB40110	GO:0016021	LOC100577222
GB40112	GO:0008270	LOC410462
GB40113	GO:0016021	LOC408433
GB40118	GO:0016831	LOC408432
GB40118	GO:0019752	LOC408432
GB40118	GO:0030170	LOC408432
GB40119	GO:0004334	LOC552210
GB40119	GO:0009072	LOC552210
GB40120	GO:0043066	LOC726648
GB40123	GO:0004180	LOC726599
GB40123	GO:0008237	LOC726599
GB40123	GO:0008241	LOC726599
GB40123	GO:0016020	LOC726599
GB40123	GO:0046872	LOC726599
GB40126	GO:0007165	LOC410456
GB40128	GO:0003676	LOC726547
GB40128	GO:0046872	LOC726547
GB40135	GO:0004181	LOC726391
GB40135	GO:0008270	LOC726391
GB40137	GO:0004252	LOC726352
GB40138	GO:0004252	LOC726329
GB40139	GO:0003755	LOC408428
GB40139	GO:0006457	LOC408428
GB40139	GO:0016021	LOC408428
GB40140	GO:0008381	LOC408427
GB40140	GO:0016021	LOC408427
GB40141	GO:0004185	LOC410451
GB40141	GO:0005576	LOC410451
GB40142	GO:0003676	LOC100577543
GB40142	GO:0006355	LOC100577543
GB40142	GO:0030097	LOC100577543
GB40142	GO:0046872	LOC100577543
GB40142	GO:0051569	LOC100577543
GB40145	GO:0016021	LOC410449
GB40145	GO:0046872	LOC410449
GB40146	GO:0005525	LOC725856
GB40146	GO:0005622	LOC725856
GB40146	GO:0007264	LOC725856
GB40146	GO:0015031	LOC725856
GB40147	GO:0003676	LOC100577696
GB40147	GO:0046872	LOC100577696
GB40148	GO:0016021	LOC100576555
GB40148	GO:0055114	LOC100576555
GB40150	GO:0003700	Foxp
GB40150	GO:0005634	Foxp
GB40150	GO:0006351	Foxp
GB40150	GO:0043565	Foxp
GB40151	GO:0015031	LOC410441
GB40151	GO:0016021	LOC410441
GB40158	GO:0004252	LOC410438
GB40159	GO:0007165	LOC100576924
GB40162	GO:0008376	LOC413549
GB40162	GO:0016021	LOC413549
GB40162	GO:0032580	LOC413549
GB40168	GO:0003873	LOC409963
GB40168	GO:0005524	LOC409963
GB40168	GO:0006000	LOC409963
GB40168	GO:0006003	LOC409963
GB40169	GO:0008528	LOC411632
GB40169	GO:0016021	LOC411632
GB40178	GO:0003700	LOC100577391
GB40178	GO:0005622	LOC100577391
GB40178	GO:0043565	LOC100577391
GB40183	GO:0004984	LOC724462
GB40183	GO:0005549	LOC724462
GB40183	GO:0005886	LOC724462
GB40183	GO:0016021	LOC724462
