gene_id,SRR3102934,SRR3123272,SRR3123273,SRR3123275,SRR3123276,SRR3123277,SRR3123279,SRR3123281,SRR3123337,SRR3123340,SRR3123341,SRR3123342,SRR3123355,SRR3123357,SRR3123359,SRR3123361,SRR3123362,SRR3123364,SRR3123372,SRR3123380,SRR3123385,SRR3123388,SRR3123389,SRR3123390,SRR3123400,SRR3123402,SRR3123404,SRR3123406,SRR3123407,SRR3123408,SRR3123443,SRR3123445,SRR3123446,SRR3123448,SRR3123449,SRR3123451
LOC552277,382.21,246.92,456.64,503.87,366.74,405.80,235.98,254.86,230.54,200.66,289.91,176.41,278.35,249.13,250.72,245.27,346.96,292.48,182.30,111.27,158.23,214.78,241.85,212.32,632.49,335.48,543.41,615.65,337.52,346.97,430.12,126.84,353.66,289.94,113.58,155.12
LOC102655366,2.05,1.32,2.21,1.64,1.46,0.68,0.41,0.79,0.91,0.33,0.11,0.47,1.79,1.07,0.14,0.58,0.92,0.55,0.28,0.15,0.28,0.12,0.53,0.39,1.22,1.05,2.54,0.85,0.77,2.21,0.67,0.23,0.94,0.00,0.22,0.10
LOC102655367,0.00,0.00,0.00,0.00,0.09,0.00,0.00,0.08,0.00,0.00,0.16,0.00,0.08,0.00,0.00,0.00,0.09,0.08,0.07,0.00,0.00,0.09,0.00,0.00,0.00,0.16,0.00,0.16,0.29,0.00,0.00,0.09,0.00,0.17,0.47,0.00
LOC409639,10.29,14.86,11.07,11.85,11.53,12.35,9.12,16.09,12.85,12.07,14.85,11.95,12.91,10.45,17.04,13.76,13.21,16.66,16.43,16.54,14.75,19.09,15.34,19.11,10.87,11.07,9.76,10.23,10.32,9.40,12.90,12.11,12.71,12.77,15.09,14.99
LOC409638,326.85,177.38,178.02,175.43,280.85,107.46,177.88,70.71,83.14,142.88,90.17,75.47,181.21,175.47,191.27,171.37,253.50,184.25,65.92,40.34,51.81,89.52,70.37,67.96,213.51,219.05,232.78,226.20,248.81,177.44,133.21,90.99,144.46,117.97,105.98,100.52
LOC409633,1.07,0.35,0.25,0.80,0.36,0.55,0.20,0.22,0.00,0.00,0.00,0.09,2.32,1.88,1.87,2.15,2.37,1.84,11.56,10.08,10.26,11.80,11.95,13.98,1.66,0.51,1.82,1.35,0.66,1.93,0.44,0.00,0.65,0.46,0.21,0.31
Hex110,508.37,1465.93,763.62,544.61,842.16,706.78,29660.66,49206.42,38970.29,22950.73,44005.36,38470.47,326.59,357.15,398.23,270.24,578.13,447.77,10097.80,14213.02,15698.73,19493.24,14538.78,20215.01,1453.42,1949.26,773.04,1066.36,1393.32,374.51,5993.33,9244.69,3747.63,5348.34,9624.77,7815.08
LOC409631,0.05,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.10,0.05,0.08,0.00,0.08,0.05,0.00,0.00,0.10,0.00,0.10,0.00,0.08,0.00,0.09,0.05,0.00,0.00,0.00,0.00
LOC409637,2242.09,2080.07,2203.00,2580.59,2655.72,2736.65,1643.59,1709.08,1790.74,2130.09,1548.56,1615.22,2404.77,2778.66,2388.58,2220.43,2212.19,2489.27,2071.52,2226.29,2053.01,1535.26,1709.86,1869.23,1940.97,2084.20,1992.48,1926.31,2064.98,2195.77,1656.74,1845.96,2125.10,2025.44,1848.13,2251.36
Gb15078,17.66,10.26,13.12,14.56,17.87,12.56,1.09,1.93,0.58,2.23,1.61,2.41,7.07,3.71,6.56,7.92,7.70,11.22,0.40,1.16,1.58,1.17,2.98,1.92,8.13,4.65,10.04,8.63,6.44,18.65,5.43,0.61,2.72,3.41,1.47,1.54
LOC409634,60.03,51.99,47.38,50.08,50.06,40.14,22.50,17.55,16.63,18.36,21.45,16.26,46.47,35.45,45.99,34.47,42.48,45.01,15.13,14.78,18.32,28.64,25.36,20.98,47.67,45.26,55.66,51.18,46.88,57.57,33.82,23.05,27.95,30.63,26.81,25.15
LOC411904,53.52,46.27,55.02,57.23,47.56,47.90,18.21,17.85,15.56,21.61,20.31,18.04,40.65,39.25,49.21,43.34,52.03,48.82,19.79,15.49,19.25,31.60,32.62,25.57,46.84,43.56,49.96,58.42,46.88,51.91,30.18,28.72,30.98,35.43,34.81,31.29
